GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU VRAM UTIL,CPU UTIL,RAM UTIL
0.28,404.80,451.16,38.25,1.59,206.70,5.03,4.49
0,400,400,37,1,166,3.54,3.89
0,400,400,37,1,166,3.42,3.89
1,400,400,38,3,167,12.59,3.98
7,400,400,39,3,173,17.51,4.10
4,400,1200,39,4,184,27.92,4.22
4,400,400,38,2,167,9.76,4.04
0,400,400,38,2,160,2.57,4.06
0,400,400,37,1,160,0.61,4.04
0,400,400,37,1,160,1.01,4.03
5,400,400,39,2,167,14.79,4.12
2,400,1200,40,4,167,32.42,4.21
0,400,400,41,3,167,25.10,4.24
2,400,1200,41,5,179,46.70,4.40
5,400,1200,42,6,181,38.19,4.46
3,400,1200,44,8,157,68.53,4.36
0,400,1200,42,5,167,14.00,4.42
0,400,1200,44,5,167,14.40,4.45
1,400,1200,44,6,168,12.32,4.49
0,400,1200,43,5,171,11.20,4.48
8,400,1200,48,11,171,59.26,4.59
2,400,400,42,4,198,2.75,4.58
0,400,400,42,2,190,11.91,4.61
2,400,400,41,2,279,7.36,4.70
1,400,400,42,2,299,7.01,4.67
0,400,1200,43,3,290,16.95,4.79
1,400,400,42,4,276,14.41,4.76
0,400,400,40,2,290,1.13,4.74
0,400,400,41,2,288,10.83,4.67
0,400,400,41,2,243,4.56,4.68
0,400,400,41,2,217,4.13,4.57
0,400,400,40,1,217,2.15,4.58
0,400,400,40,1,217,2.03,4.58
0,400,400,40,1,216,1.00,4.58
0,400,400,39,1,216,2.24,4.57
0,400,400,40,1,216,2.35,4.56
0,400,400,40,1,216,2.35,4.55
0,400,400,40,1,216,2.06,4.55
0,400,400,39,1,216,2.42,4.55
0,400,400,40,1,216,0.84,4.55
0,400,400,39,1,216,1.33,4.55
0,400,400,42,2,216,12.79,4.57
0,400,400,40,2,216,7.80,4.58
0,400,400,40,1,208,1.57,4.58
0,400,400,39,2,208,5.85,4.59
0,400,400,39,1,208,3.09,4.60
0,675,400,39,1,208,2.40,4.60
0,400,400,40,2,208,4.04,4.60
0,400,400,39,1,208,2.61,4.60
0,400,400,38,1,208,0.62,4.60
0,400,400,39,1,208,1.48,4.60
0,400,400,38,1,208,1.90,4.60
0,400,400,39,1,208,1.68,4.60
0,400,400,39,1,208,1.92,4.59
0,400,400,38,1,208,2.93,4.59
0,400,400,39,2,208,2.82,4.59
0,400,400,38,1,208,2.70,4.59
0,400,400,38,1,208,2.35,4.59
0,400,400,38,1,208,2.34,4.58
0,400,400,38,1,208,2.51,4.59
0,400,400,38,1,208,2.03,4.59
0,400,400,38,1,208,1.39,4.59
0,400,400,38,1,208,1.37,4.59
0,400,400,38,1,208,1.29,4.59
0,400,400,38,1,208,2.05,4.59
0,400,400,38,1,208,1.49,4.59
0,400,400,38,1,208,1.36,4.59
0,400,400,38,1,208,0.95,4.59
0,400,400,38,1,208,1.89,4.59
0,400,400,38,1,208,1.54,4.59
0,400,400,38,1,208,0.95,4.58
0,400,400,37,1,208,1.80,4.59
0,400,400,38,1,208,2.36,4.58
0,400,400,38,2,208,2.91,4.58
0,400,400,38,2,208,4.88,4.59
0,400,400,38,2,208,4.21,4.59
0,400,400,37,1,208,2.42,4.59
0,400,400,38,1,208,2.70,4.59
0,400,400,37,1,208,1.77,4.58
0,400,400,37,1,208,2.07,4.58
0,400,400,37,1,208,0.85,4.58
0,400,400,37,1,208,2.14,4.58
0,400,400,38,2,208,2.58,4.58
0,400,400,37,1,208,2.38,4.58
0,400,400,37,1,208,1.41,4.58
0,400,400,37,1,208,1.07,4.58
0,400,400,38,1,208,2.23,4.58
0,400,400,38,1,208,1.43,4.58
0,400,400,37,1,208,2.76,4.58
0,400,400,37,1,208,2.33,4.58
0,400,400,38,1,208,2.19,4.58
0,400,400,37,1,208,1.47,4.58
0,400,400,37,1,208,1.26,4.57
0,400,400,37,1,208,1.46,4.57
0,400,400,37,1,208,2.47,4.57
0,400,400,37,1,208,2.29,4.57
0,400,400,37,1,208,1.67,4.57
0,400,400,38,1,208,0.85,4.57
0,400,400,37,1,208,1.73,4.57
0,400,400,37,1,208,1.55,4.57
0,400,400,37,1,208,1.62,4.57
0,400,400,37,1,208,1.77,4.54
0,400,400,39,2,208,11.01,4.43
0,400,400,39,2,208,11.01,4.43
0,400,400,37,2,208,3.78,4.44
0,400,400,37,1,208,2.47,4.44
0,400,400,37,1,208,2.19,4.44
0,400,400,37,1,208,2.34,4.44
0,400,400,37,2,208,4.53,4.44
0,400,400,37,1,208,2.21,4.45
0,400,400,37,1,208,1.26,4.45
0,400,400,38,1,208,4.12,4.45
0,400,400,37,1,208,0.90,4.45
0,400,400,37,1,208,4.64,4.45
0,400,400,38,2,208,12.19,4.46
0,400,400,38,2,208,3.65,4.46
0,400,400,38,2,208,1.33,4.46
0,400,400,38,2,208,2.24,4.46
0,400,400,37,2,208,3.56,4.45
0,400,400,37,2,208,2.53,4.46
0,400,400,37,1,208,2.35,4.46
0,400,400,38,1,208,2.14,4.46
0,400,400,37,1,208,0.64,4.46
0,400,400,37,1,208,1.69,4.45
0,400,400,37,1,208,1.66,4.45
0,400,400,38,1,208,0.79,4.45
0,400,400,37,1,208,1.95,4.45
0,400,400,38,1,208,2.16,4.45
0,400,400,37,1,208,1.72,4.45
0,400,400,36,1,208,1.27,4.45
0,400,400,37,1,208,1.62,4.45
0,400,400,37,1,208,1.21,4.45
0,400,400,37,1,208,1.68,4.45
0,400,400,37,1,208,1.50,4.45
0,400,400,37,1,208,2.66,4.45
0,400,400,39,1,208,1.38,4.45
0,400,400,37,1,208,2.17,4.45
0,400,400,37,1,208,2.31,4.45
0,400,400,38,1,208,2.33,4.45
0,400,400,37,1,208,1.63,4.45
0,400,400,37,1,208,2.25,4.45
0,400,400,37,1,208,1.47,4.45
0,675,400,37,1,208,2.03,4.45
0,400,400,36,1,208,1.66,4.45
0,400,400,37,1,208,1.51,4.45
0,400,400,36,1,208,1.20,4.45
0,400,400,38,2,208,3.94,4.44
0,400,400,37,1,208,1.52,4.46
0,400,400,37,1,208,1.89,4.45
0,400,400,37,1,208,1.59,4.46
0,400,400,37,1,208,2.53,4.45
0,400,400,37,1,208,2.06,4.45
0,400,400,36,1,208,2.58,4.45
0,400,400,37,1,208,2.14,4.46
0,400,400,37,1,208,1.43,4.46
0,400,400,37,1,208,1.22,4.46
0,400,400,38,1,208,2.95,4.45
0,400,400,38,1,208,1.06,4.46
0,400,400,37,1,208,1.16,4.46
0,400,400,37,1,208,1.69,4.46
0,400,400,37,1,208,1.49,4.46
0,400,400,37,1,208,1.84,4.46
0,400,400,37,2,208,6.92,4.45
0,400,400,37,2,208,7.48,4.46
0,400,400,37,2,208,6.51,4.44
0,400,400,39,3,206,14.47,4.46
0,400,400,38,2,206,5.48,4.45
0,400,400,37,2,206,2.16,4.43
0,400,400,37,2,206,3.73,4.43
0,400,400,37,1,206,1.44,4.43
0,400,400,37,1,206,1.66,4.43
0,675,400,37,1,206,1.88,4.43
0,400,400,37,1,206,0.66,4.43
